task_id,plate_id,from,to,reason,estimated_seconds
R_L1_P001_P002_1,P002,"{'area': 'A', 'stack_id': 'S1', 'level': 2}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P001_P003_2,P003,"{'area': 'A', 'stack_id': 'S1', 'level': 3}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P001_P004_3,P004,"{'area': 'A', 'stack_id': 'S1', 'level': 4}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P001_P005_4,P005,"{'area': 'A', 'stack_id': 'S1', 'level': 5}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P001_P006_5,P006,"{'area': 'A', 'stack_id': 'S1', 'level': 6}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P009_P010_6,P010,"{'area': 'A', 'stack_id': 'S2', 'level': 4}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P009_P011_7,P011,"{'area': 'A', 'stack_id': 'S2', 'level': 5}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P009_P012_8,P012,"{'area': 'A', 'stack_id': 'S2', 'level': 6}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P013_P014_9,P014,"{'area': 'A', 'stack_id': 'S3', 'level': 2}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P013_P015_10,P015,"{'area': 'A', 'stack_id': 'S3', 'level': 3}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P013_P016_11,P016,"{'area': 'A', 'stack_id': 'S3', 'level': 4}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P013_P017_12,P017,"{'area': 'A', 'stack_id': 'S3', 'level': 5}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P013_P018_13,P018,"{'area': 'A', 'stack_id': 'S3', 'level': 6}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P021_P022_14,P022,"{'area': 'A', 'stack_id': 'S4', 'level': 4}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P021_P023_15,P023,"{'area': 'A', 'stack_id': 'S4', 'level': 5}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P021_P024_16,P024,"{'area': 'A', 'stack_id': 'S4', 'level': 6}",{'buffer_id': 'BUF1'},unblock,66.0
R_L3_P007_P008_17,P008,"{'area': 'A', 'stack_id': 'S2', 'level': 2}",{'buffer_id': 'BUF1'},unblock,66.0
R_L3_P007_P009_18,P009,"{'area': 'A', 'stack_id': 'S2', 'level': 3}",{'buffer_id': 'BUF1'},unblock,66.0
R_L3_P019_P020_19,P020,"{'area': 'A', 'stack_id': 'S4', 'level': 2}",{'buffer_id': 'BUF1'},unblock,66.0
R_L3_P019_P021_20,P021,"{'area': 'A', 'stack_id': 'S4', 'level': 3}",{'buffer_id': 'BUF1'},unblock,66.0
